,dates,water use,gas usage,driving distance,trash production,plane travel
0,0,41.42861576348367,142.82132138608677,96.88799789648016,58.686595463864045,7.7795165160759225
1,1,29.139166273270376,101.83562170890005,30.023210147479674,26.078027143533564,5.1711850384757385
2,2,63.7273496579515,127.70331604904622,90.7019447331974,63.54961077490417,27.690925798966536
3,3,47.048043850649535,79.05489435304463,61.817440931432785,55.33925308221672,7.023435641404101
4,4,30.113496221963626,169.68537605802396,69.68575722130865,55.3279444689934,13.430845222123098
5,5,40.23660225449564,179.0295830844934,89.36280396608637,33.43138008482781,26.941136872778415
6,6,38.76549653066688,66.77185297689229,43.88253544912186,24.263864492232656,6.255290915862073
7,7,26.610750909579476,104.03918799275277,61.51280080271385,67.81408657698044,25.14413324921381
8,8,65.28839592756111,195.95080102665096,79.2130113322819,26.832251364486513,11.686017580488484
9,9,46.05590091595916,54.573287096501204,62.67986089980374,64.9878886836953,23.75456932124817
10,10,41.133779623693755,160.57847385716823,78.11607172606247,20.943449181781503,29.52975841324053
11,11,59.11656502075148,127.61995391321885,98.10942544062218,50.94483187401624,6.7428293128090075
12,12,26.12945628066266,139.8148656374775,49.444308023086144,27.806350192598728,19.01182257522873
13,13,58.66084297362681,172.11975946486405,48.15643200277272,49.84991023908864,25.42043063794275
14,14,22.658166174668708,195.54700428294348,88.05537926652592,46.05594267351461,17.671669316024612
15,15,50.1578885697714,84.49900863475284,78.89521450075688,30.240114879787992,17.737699002240902
16,16,67.38966191597984,191.7975433510326,86.77924151168442,50.93520751780664,13.256802721985173
17,17,24.156609149130027,60.35748627035643,81.48069508564305,27.596939877216336,5.684241191792266
18,18,25.79998293482666,120.59162322039542,61.73569854157419,22.639730183619793,15.457883055378586
19,19,57.76401529098889,148.78732060361068,52.03441969367411,54.61149325169852,6.812870347154131
20,20,51.445661724451845,99.78569917986474,37.12826571567867,47.43441869004042,23.589905711094353
21,21,48.93713719993188,69.61543086821494,96.36976499412135,51.44876902883712,4.2941189197644265
22,22,68.90309220380377,95.53024442427272,92.66994415602943,66.11326818278407,4.223066478683277
23,23,49.09973231491837,162.47428855640135,53.07292115224605,67.34548440790843,7.635980715325375
24,24,27.97555164114045,66.17811535295314,47.29730223653813,46.274652180304024,10.662869785103375
25,25,48.85347068934904,73.80282873194363,68.19743134201312,49.434676752333445,18.630691978102632
26,26,44.41200402250067,62.11573552640154,33.82573456403318,38.710493120767026,14.909599137400438
27,27,66.73944494615533,152.59929362627162,88.89915880966964,49.20569449266256,22.13291632839883
28,28,69.45673010624452,121.2275735130922,46.82530580402473,32.83252587350191,10.399397169070465
29,29,69.12792621576571,90.29912618922245,34.90784314722113,51.69853791331579,22.03677060355475
30,30,47.876358048843755,73.54123708989427,35.9651354524427,29.568320154032193,23.56386603837498
31,31,60.23093489266355,87.39387562935497,85.87761577492078,33.22525028269493,17.321431430957507
32,32,27.602368601744615,174.56609556406943,65.21572004953093,34.182902287297054,17.634789858833628
33,33,25.99413603620857,192.04822159187395,68.05813885866397,24.3806749890038,28.959595029354386
34,34,62.02126059080172,54.11122441588874,35.936470948107335,40.501294914752506,14.173156545227307
35,35,35.90455241182548,161.3863870382828,42.344437083367154,21.425986849709755,22.151939526904947
36,36,20.108417616716505,134.61138408027375,84.47317779525042,59.340937086881276,21.559656173602015
37,37,58.25684167245093,52.96067458439515,97.64267560758233,27.28827967862794,7.559291391458067
38,38,45.254200055780345,132.5538674001778,76.38553020846126,38.966871357624086,4.536550704214521
39,39,65.10508451338941,167.83725915370184,76.87527219979255,60.49758265785326,12.368131553993516
40,40,65.49206016079692,99.91017482625897,52.19125447267599,43.31789268218175,4.137451711646198
41,41,51.067915732435175,91.14831432954819,64.37303767617797,30.196917024281188,25.843615905942006
42,42,36.35182587127912,119.09790132849452,71.75520169699894,58.92896907884886,15.501992423180749
43,43,42.36046526467727,93.15107416243225,53.05665716333084,35.97235429145474,9.26569867123983
44,44,23.99746952170578,134.26394004866455,66.47897431951169,67.75805568572672,21.516783747553283
45,45,37.77567259729246,107.34913244464596,68.73798802541023,46.262951161594316,5.437705867518476
46,46,48.13042339169862,59.69211695898193,59.738811531690466,51.0066202219731,8.386895423266928
47,47,55.542902889919546,106.72916370688947,79.06058597277902,51.5538918388665,17.835827568519242
48,48,58.9049399263266,95.35414490653704,87.25919745422266,37.552699627837185,29.6883292978845
49,49,37.04060161917273,84.24607501726153,69.54651604038779,46.50706775432163,18.522552735591113
50,50,25.691143682531763,95.96185522648415,57.76094611660211,35.3037397199836,29.760730461518847
51,51,61.46557404847534,136.14699508067105,49.692041013111734,48.904060969011454,21.279384717298136
52,52,20.219186300594863,183.35086982194278,81.72914736512604,30.047574368543316,28.059624632459457
53,53,59.922752892068864,178.70808530212912,94.93351778139828,23.470608260434606,10.257686426541113
54,54,48.994198413709306,186.6686338133263,95.03053287559808,59.18406794390589,26.257387401614448
55,55,63.75459602849847,129.6552974852565,37.74668170466977,41.218161697812,4.968369658928783
56,56,60.053217829432505,124.91222315009313,74.85110922867115,26.67578587482105,28.550089575694273
